thumbnailUrl,online,sort,opId,id,downloadUrl,gif,type
sticker/previews/emoji_animation_202207_01.gif,1,1,emoji_animation_202207_01,e1fac7b0-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_01.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_02.gif,1,2,emoji_animation_202207_02,e1fac7ec-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_02.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_03.gif,1,3,emoji_animation_202207_03,e1fac81e-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_03.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_04.gif,1,4,emoji_animation_202207_04,e1fac850-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_04.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_05.gif,1,5,emoji_animation_202207_05,e1fac882-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_05.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_06.gif,1,6,emoji_animation_202207_06,e1fac8b4-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_06.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_07.gif,1,7,emoji_animation_202207_07,e1fac8e6-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_07.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_08.gif,1,8,emoji_animation_202207_08,e1fac918-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_08.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_09.gif,1,9,emoji_animation_202207_09,e1fac94a-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_09.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_10.gif,1,10,emoji_animation_202207_10,e1fac97c-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_10.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_11.gif,1,11,emoji_animation_202207_11,e1fac9ae-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_11.gif,TRUE,emoji_animation
sticker/previews/emoji_animation_202207_12.gif,1,12,emoji_animation_202207_12,e1fac9e0-0e62-11ed-908c-acde48001122,sticker/download/emoji_animation_202207_12.gif,TRUE,emoji_animation
