vipState,online,opId,id,name,coverUrl,sort
0,1,subscribe_202204,9c8d9864-cf43-11ec-823f-acde48001122,subscribe,sticker/tab/previews/subscribe_202204.png,1
0,0,appicons_202205,9c8d9a76-cf43-11ec-823f-acde48001122,appicons,sticker/tab/previews/appicons_202205.png,10
0,1,arrows_202205,9c8d9ab2-cf43-11ec-823f-acde48001122,arrows,sticker/tab/previews/arrows_202205.png,4
0,1,brasilcarnival_202204,9c8d9ae4-cf43-11ec-823f-acde48001122,brasilcarnival,sticker/tab/previews/brasilcarnival_202204.png,13
0,1,easter_202205,9c8d9b3e-cf43-11ec-823f-acde48001122,easter,sticker/tab/previews/easter_202205.png,14
0,1,effects_202205,9c8d9b66-cf43-11ec-823f-acde48001122,effects,sticker/tab/previews/effects_202205.png,6
0,1,eid_202204,9c8d9b8e-cf43-11ec-823f-acde48001122,eid,sticker/tab/previews/eid_202204.png,12
0,1,family_202205,9c8d9bb6-cf43-11ec-823f-acde48001122,family,sticker/tab/previews/family_202205.png,5
0,0,food_202205,9c8d9bde-cf43-11ec-823f-acde48001122,food,sticker/tab/previews/food_202205.png,11
0,1,ily_202204,9c8d9c06-cf43-11ec-823f-acde48001122,ily,sticker/tab/previews/ily_202204.png,4
1,1,like_202204,9c8d9c2e-cf43-11ec-823f-acde48001122,like,sticker/tab/previews/like_202204.png,2
0,1,music_202205,9c8d9c6a-cf43-11ec-823f-acde48001122,music,sticker/tab/previews/music_202205.png,3
1,1,social_202205,9c8d9c92-cf43-11ec-823f-acde48001122,social,sticker/tab/previews/social_202205.png,7
1,1,spring_202204,9c8d9cba-cf43-11ec-823f-acde48001122,spring,sticker/tab/previews/spring_202204.png,8
0,0,weather_202205,9c8d9ce2-cf43-11ec-823f-acde48001122,weather,sticker/tab/previews/weather_202205.png,9
